"","Cell","Batch","Group","ExpLibSize"
"Cell1725","Cell1725","Batch1","Group1",60519.1038175503
"Cell1726","Cell1726","Batch1","Group1",63044.3754245612
"Cell1727","Cell1727","Batch1","Group1",64881.4925751018
"Cell1728","Cell1728","Batch1","Group2",74274.1065524483
"Cell1729","Cell1729","Batch1","Group1",66965.237059401
"Cell1730","Cell1730","Batch1","Group2",57792.3361024377
"Cell1731","Cell1731","Batch1","Group2",50615.3219087942
"Cell1732","Cell1732","Batch1","Group2",73655.9421328281
"Cell1733","Cell1733","Batch1","Group1",58402.9377674338
"Cell1734","Cell1734","Batch1","Group2",57860.65536056
"Cell1735","Cell1735","Batch1","Group1",56124.0886658163
"Cell1736","Cell1736","Batch1","Group2",58391.849066911
"Cell1737","Cell1737","Batch1","Group1",47805.2981781026
"Cell1738","Cell1738","Batch1","Group2",64342.2693490093
"Cell1739","Cell1739","Batch1","Group2",53292.999587975
"Cell1740","Cell1740","Batch1","Group2",47148.9868834712
"Cell1741","Cell1741","Batch1","Group1",52071.6116767963
"Cell1742","Cell1742","Batch1","Group1",59042.7113999886
"Cell1743","Cell1743","Batch1","Group2",67032.1872932751
"Cell1744","Cell1744","Batch1","Group1",88753.2482821295
"Cell1745","Cell1745","Batch1","Group1",61440.3469227901
"Cell1746","Cell1746","Batch1","Group1",58079.1377652021
"Cell1747","Cell1747","Batch1","Group2",54846.010500112
"Cell1748","Cell1748","Batch1","Group1",56876.9589698824
"Cell1749","Cell1749","Batch1","Group2",54763.5777175194
"Cell1750","Cell1750","Batch1","Group2",85547.0493021258
"Cell1751","Cell1751","Batch1","Group2",66767.7707582281
"Cell1752","Cell1752","Batch1","Group1",40237.5175285095
"Cell1753","Cell1753","Batch1","Group2",59201.622642276
"Cell1754","Cell1754","Batch1","Group2",57266.734887896
"Cell1755","Cell1755","Batch1","Group2",51969.873799874
"Cell1756","Cell1756","Batch1","Group1",90864.6442253517
"Cell1757","Cell1757","Batch1","Group2",61725.539030659
"Cell1758","Cell1758","Batch1","Group2",52802.2615473625
"Cell1759","Cell1759","Batch1","Group1",57161.0273588035
"Cell1760","Cell1760","Batch1","Group1",68612.5929428884
"Cell1761","Cell1761","Batch1","Group1",61742.6620802698
"Cell1762","Cell1762","Batch1","Group2",62680.405584785
"Cell1763","Cell1763","Batch1","Group2",66903.613054312
"Cell1764","Cell1764","Batch1","Group1",58119.5395683606
"Cell1765","Cell1765","Batch1","Group1",46972.7027672226
"Cell1766","Cell1766","Batch1","Group1",46760.4807286243
"Cell1767","Cell1767","Batch1","Group2",51379.9678660886
"Cell1768","Cell1768","Batch1","Group2",67709.8883081936
"Cell1769","Cell1769","Batch1","Group1",47681.4745205845
"Cell1770","Cell1770","Batch1","Group1",61450.2524951366
"Cell1771","Cell1771","Batch1","Group2",74055.739693355
"Cell1772","Cell1772","Batch1","Group2",76995.7253892976
"Cell1773","Cell1773","Batch1","Group2",45706.5995983685
"Cell1774","Cell1774","Batch1","Group2",72557.5103574749
"Cell1775","Cell1775","Batch1","Group2",62848.4248643688
"Cell1776","Cell1776","Batch1","Group1",44134.5179677275
"Cell1777","Cell1777","Batch1","Group2",46138.3190072589
"Cell1778","Cell1778","Batch1","Group2",62970.0314340667
"Cell1779","Cell1779","Batch1","Group1",77507.441355244
"Cell1780","Cell1780","Batch1","Group1",58553.5739163512
"Cell1781","Cell1781","Batch1","Group1",51162.4605828404
"Cell1782","Cell1782","Batch1","Group2",64618.9370629367
"Cell1783","Cell1783","Batch1","Group2",54159.0923145651
"Cell1784","Cell1784","Batch1","Group2",81348.8028987135
"Cell1785","Cell1785","Batch1","Group1",55704.2748895019
"Cell1786","Cell1786","Batch1","Group2",37080.0211698255
"Cell1787","Cell1787","Batch1","Group2",91771.2548069011
"Cell1788","Cell1788","Batch1","Group2",61325.303336632
"Cell1789","Cell1789","Batch1","Group1",63185.3401022468
"Cell1790","Cell1790","Batch1","Group1",55674.9356915464
"Cell1791","Cell1791","Batch1","Group1",49849.1600732167
"Cell1792","Cell1792","Batch1","Group1",70106.8221010017
"Cell1793","Cell1793","Batch1","Group2",57989.9482402367
"Cell1794","Cell1794","Batch1","Group2",53354.5568460887
"Cell1795","Cell1795","Batch1","Group1",39290.6868013366
"Cell1796","Cell1796","Batch1","Group1",67790.1878942568
"Cell1797","Cell1797","Batch1","Group2",66063.2593077742
"Cell1798","Cell1798","Batch1","Group1",54968.1303806186
"Cell1799","Cell1799","Batch1","Group2",54771.4786988089
"Cell1800","Cell1800","Batch1","Group1",75035.1175185738
"Cell1801","Cell1801","Batch1","Group2",53830.0061865171
"Cell1802","Cell1802","Batch1","Group1",60412.4306825577
"Cell1803","Cell1803","Batch1","Group1",57131.191487104
"Cell1804","Cell1804","Batch1","Group1",45855.7699748297
"Cell1805","Cell1805","Batch1","Group1",68593.4608453822
"Cell1806","Cell1806","Batch1","Group1",48798.9433865785
"Cell1807","Cell1807","Batch1","Group1",46394.4323513241
"Cell1808","Cell1808","Batch1","Group2",57692.2061310441
"Cell1809","Cell1809","Batch1","Group1",51019.5541330988
"Cell1810","Cell1810","Batch1","Group1",49219.6789682656
"Cell1811","Cell1811","Batch1","Group2",44776.407113365
"Cell1812","Cell1812","Batch1","Group2",71456.2435382705
"Cell1813","Cell1813","Batch1","Group2",69183.7994943725
"Cell1814","Cell1814","Batch1","Group2",44326.388548608
"Cell1815","Cell1815","Batch1","Group1",68425.7058575476
"Cell1816","Cell1816","Batch1","Group1",55503.018775269
"Cell1817","Cell1817","Batch1","Group2",65005.3720600778
"Cell1818","Cell1818","Batch1","Group2",48551.2868106447
"Cell1819","Cell1819","Batch1","Group1",58765.9933670232
"Cell1820","Cell1820","Batch1","Group1",47355.3212221452
"Cell1821","Cell1821","Batch1","Group1",66277.494675034
"Cell1822","Cell1822","Batch1","Group1",76766.4037497264
"Cell1823","Cell1823","Batch1","Group2",62681.6470442471
"Cell1824","Cell1824","Batch1","Group1",50551.1454894932
"Cell1825","Cell1825","Batch1","Group1",53078.078394179
"Cell1826","Cell1826","Batch1","Group2",58788.7596847853
"Cell1827","Cell1827","Batch1","Group1",58319.5076930958
"Cell1828","Cell1828","Batch1","Group1",72476.1860148023
"Cell1829","Cell1829","Batch1","Group1",46000.4683573314
"Cell1830","Cell1830","Batch1","Group2",70990.3411987671
"Cell1831","Cell1831","Batch1","Group1",56794.417689258
"Cell1832","Cell1832","Batch1","Group2",85968.4698471716
"Cell1833","Cell1833","Batch1","Group2",54370.6057785833
"Cell1834","Cell1834","Batch1","Group2",54747.5987024153
"Cell1835","Cell1835","Batch1","Group1",53938.9080090404
"Cell1836","Cell1836","Batch1","Group1",78516.351703369
"Cell1837","Cell1837","Batch1","Group2",65812.3059310786
"Cell1838","Cell1838","Batch1","Group1",58382.6370681809
"Cell1839","Cell1839","Batch1","Group2",68623.8321607352
"Cell1840","Cell1840","Batch1","Group2",90661.5739632363
"Cell1841","Cell1841","Batch1","Group2",46408.1488089106
"Cell1842","Cell1842","Batch1","Group2",61497.6985241024
"Cell1843","Cell1843","Batch1","Group2",65496.0500728801
"Cell1844","Cell1844","Batch1","Group2",61780.2966250775
"Cell1845","Cell1845","Batch1","Group2",81270.4519941666
"Cell1846","Cell1846","Batch1","Group1",62077.3125689216
"Cell1847","Cell1847","Batch1","Group1",57352.6351041839
"Cell1848","Cell1848","Batch1","Group1",57706.3748494198
"Cell1849","Cell1849","Batch1","Group2",69731.7023535077
"Cell1850","Cell1850","Batch1","Group2",51642.6671652051
"Cell1851","Cell1851","Batch1","Group2",53009.9993637816
"Cell1852","Cell1852","Batch1","Group1",45864.8479679188
"Cell1853","Cell1853","Batch1","Group2",60978.8524425404
"Cell1854","Cell1854","Batch1","Group2",97066.0953793886
"Cell1855","Cell1855","Batch1","Group1",45538.0859317154
"Cell1856","Cell1856","Batch1","Group2",57568.140611781
"Cell1857","Cell1857","Batch1","Group1",48619.1572549502
"Cell1858","Cell1858","Batch1","Group2",55473.3640260534
"Cell1859","Cell1859","Batch1","Group2",55978.2928741228
"Cell1860","Cell1860","Batch1","Group2",55258.7066377431
"Cell1861","Cell1861","Batch1","Group1",44736.5191320795
"Cell1862","Cell1862","Batch1","Group1",73393.3405985467
"Cell1863","Cell1863","Batch1","Group1",38625.193397102
"Cell1864","Cell1864","Batch1","Group1",78384.550258763
"Cell1865","Cell1865","Batch1","Group2",69355.5238473753
"Cell1866","Cell1866","Batch1","Group1",72356.3247739284
"Cell1867","Cell1867","Batch1","Group1",60727.3737317148
"Cell1868","Cell1868","Batch1","Group1",56675.8625122598
"Cell1869","Cell1869","Batch1","Group2",77703.7874959368
"Cell1870","Cell1870","Batch1","Group1",58925.0925115896
"Cell1871","Cell1871","Batch1","Group1",42286.7560313262
"Cell1872","Cell1872","Batch1","Group2",45470.1758720929
"Cell1873","Cell1873","Batch1","Group2",75983.5058316681
"Cell1874","Cell1874","Batch1","Group2",63321.6735170055
"Cell1875","Cell1875","Batch1","Group1",66912.5420440034
"Cell1876","Cell1876","Batch1","Group2",49703.2645545573
"Cell1877","Cell1877","Batch1","Group2",49593.2790720876
"Cell1878","Cell1878","Batch1","Group2",73013.201345052
"Cell1879","Cell1879","Batch1","Group2",54730.4250675416
"Cell1880","Cell1880","Batch1","Group1",69640.2757438207
"Cell1881","Cell1881","Batch1","Group1",61007.3567567281
"Cell1882","Cell1882","Batch1","Group2",59075.0702143404
"Cell1883","Cell1883","Batch1","Group1",53940.4618592797
"Cell1884","Cell1884","Batch1","Group2",58699.346660304
"Cell1885","Cell1885","Batch1","Group2",65649.2634748509
"Cell1886","Cell1886","Batch1","Group1",73495.3625381792
"Cell1887","Cell1887","Batch1","Group2",79915.8255523191
"Cell1888","Cell1888","Batch1","Group2",59812.8472231293
"Cell1889","Cell1889","Batch1","Group2",53068.6500253944
"Cell1890","Cell1890","Batch1","Group1",64288.1799778874
"Cell1891","Cell1891","Batch1","Group1",51266.8167382558
"Cell1892","Cell1892","Batch1","Group1",49916.7673205793
"Cell1893","Cell1893","Batch1","Group1",56507.6642240613
"Cell1894","Cell1894","Batch1","Group2",70537.5672380792
"Cell1895","Cell1895","Batch1","Group1",62313.7551482907
"Cell1896","Cell1896","Batch1","Group2",72519.6651128622
"Cell1897","Cell1897","Batch1","Group2",65889.1492734125
"Cell1898","Cell1898","Batch1","Group1",35668.0804615309
"Cell1899","Cell1899","Batch1","Group2",62105.0463933954
"Cell1900","Cell1900","Batch1","Group1",64594.1109863894
"Cell1901","Cell1901","Batch1","Group2",65675.4951435827
"Cell1902","Cell1902","Batch1","Group2",61247.5622174356
"Cell1903","Cell1903","Batch1","Group1",75967.1857693185
"Cell1904","Cell1904","Batch1","Group2",46996.4564475513
"Cell1905","Cell1905","Batch1","Group1",59161.7634001074
"Cell1906","Cell1906","Batch1","Group1",82991.7400400359
"Cell1907","Cell1907","Batch1","Group1",50407.9204013543
"Cell1908","Cell1908","Batch1","Group2",60620.0855876669
"Cell1909","Cell1909","Batch1","Group2",46557.7712018739
"Cell1910","Cell1910","Batch1","Group2",57534.5515601119
"Cell1911","Cell1911","Batch1","Group1",54265.2072762162
"Cell1912","Cell1912","Batch1","Group1",68189.0615094711
"Cell1913","Cell1913","Batch1","Group1",59224.2372897631
"Cell1914","Cell1914","Batch1","Group2",36859.7461781775
"Cell1915","Cell1915","Batch1","Group1",69897.5397063647
"Cell1916","Cell1916","Batch1","Group2",63818.6444646064
"Cell1917","Cell1917","Batch1","Group1",62872.4586473139
"Cell1918","Cell1918","Batch1","Group2",92863.1579704069
"Cell1919","Cell1919","Batch1","Group2",68627.607655999
"Cell1920","Cell1920","Batch1","Group1",57733.8420326106
"Cell1921","Cell1921","Batch1","Group2",50799.612521606
"Cell1922","Cell1922","Batch1","Group1",49622.9236225248
"Cell1923","Cell1923","Batch1","Group2",73805.0331745908
"Cell1924","Cell1924","Batch1","Group1",62306.8683081291
"Cell1925","Cell1925","Batch1","Group2",59848.6454005595
"Cell1926","Cell1926","Batch1","Group1",57263.8561130581
"Cell1927","Cell1927","Batch1","Group1",50381.1690533095
"Cell1928","Cell1928","Batch1","Group2",57952.110080828
"Cell1929","Cell1929","Batch1","Group2",41591.4567281959
"Cell1930","Cell1930","Batch1","Group1",70248.8351389403
"Cell1931","Cell1931","Batch1","Group2",79700.6437400702
"Cell1932","Cell1932","Batch1","Group1",49325.5462299185
"Cell1933","Cell1933","Batch1","Group1",53212.4899313845
"Cell1934","Cell1934","Batch1","Group1",66251.4781976004
"Cell1935","Cell1935","Batch1","Group1",59160.0035818004
"Cell1936","Cell1936","Batch1","Group1",67984.8271806432
"Cell1937","Cell1937","Batch1","Group2",41968.26934908
"Cell1938","Cell1938","Batch1","Group2",59645.9368991598
"Cell1939","Cell1939","Batch1","Group1",53645.6951328441
"Cell1940","Cell1940","Batch1","Group2",50751.8097848032
"Cell1941","Cell1941","Batch1","Group1",44711.3132362578
"Cell1942","Cell1942","Batch1","Group2",85427.7368356008
"Cell1943","Cell1943","Batch1","Group2",41750.5480091318
"Cell1944","Cell1944","Batch1","Group2",64900.1651437589
"Cell1945","Cell1945","Batch1","Group1",65228.4631619102
"Cell1946","Cell1946","Batch1","Group2",78436.8092960116
"Cell1947","Cell1947","Batch1","Group2",87674.1466369438
"Cell1948","Cell1948","Batch1","Group1",78801.5979157296
"Cell1949","Cell1949","Batch1","Group2",35927.2488121239
"Cell1950","Cell1950","Batch1","Group2",47150.0344265517
"Cell1951","Cell1951","Batch1","Group2",60206.4326100842
"Cell1952","Cell1952","Batch1","Group2",69664.9262043294
"Cell1953","Cell1953","Batch1","Group1",78333.7993705449
"Cell1954","Cell1954","Batch1","Group1",63375.8531247236
"Cell1955","Cell1955","Batch1","Group1",65166.5438892444
"Cell1956","Cell1956","Batch1","Group1",68761.4333171712
"Cell1957","Cell1957","Batch1","Group2",71545.2329026709
"Cell1958","Cell1958","Batch1","Group2",60679.2784161776
"Cell1959","Cell1959","Batch1","Group2",65595.6161040672
"Cell1960","Cell1960","Batch1","Group1",54063.3952887205
"Cell1961","Cell1961","Batch1","Group2",61515.0097056524
"Cell1962","Cell1962","Batch1","Group1",49552.0030446279
"Cell1963","Cell1963","Batch1","Group1",67969.2875947145
"Cell1964","Cell1964","Batch1","Group2",69756.8039075707
"Cell1965","Cell1965","Batch1","Group2",73247.8921650032
"Cell1966","Cell1966","Batch1","Group1",62071.5459305531
"Cell1967","Cell1967","Batch1","Group1",64704.5106360591
"Cell1968","Cell1968","Batch1","Group1",64768.0406688484
"Cell1969","Cell1969","Batch1","Group1",54632.9075262404
"Cell1970","Cell1970","Batch1","Group2",53469.7071356793
"Cell1971","Cell1971","Batch1","Group2",59193.4546964471
"Cell1972","Cell1972","Batch1","Group2",69199.244146771
"Cell1973","Cell1973","Batch1","Group2",68779.3121491456
"Cell1974","Cell1974","Batch1","Group2",39809.1880887518
"Cell1975","Cell1975","Batch1","Group2",61743.6659642711
"Cell1976","Cell1976","Batch1","Group2",77874.6627694142
"Cell1977","Cell1977","Batch1","Group1",62457.446600453
"Cell1978","Cell1978","Batch1","Group1",48348.0421734362
"Cell1979","Cell1979","Batch1","Group2",47458.4541477016
"Cell1980","Cell1980","Batch1","Group1",82698.0101133663
"Cell1981","Cell1981","Batch1","Group1",57699.1045993823
"Cell1982","Cell1982","Batch1","Group2",56903.2330588748
"Cell1983","Cell1983","Batch1","Group1",44860.7960864982
"Cell1984","Cell1984","Batch1","Group2",51003.8669902743
"Cell1985","Cell1985","Batch1","Group2",47559.9716120714
"Cell1986","Cell1986","Batch1","Group1",60080.006401996
"Cell1987","Cell1987","Batch1","Group2",71483.4338300792
"Cell1988","Cell1988","Batch1","Group1",64766.5946859886
"Cell1989","Cell1989","Batch1","Group1",79075.0501566856
"Cell1990","Cell1990","Batch1","Group2",32698.5141296561
"Cell1991","Cell1991","Batch1","Group1",45893.3890912548
"Cell1992","Cell1992","Batch1","Group1",53672.6576674562
"Cell1993","Cell1993","Batch1","Group1",65398.022526192
"Cell1994","Cell1994","Batch1","Group2",52352.2434222183
"Cell1995","Cell1995","Batch1","Group2",58159.3823149891
"Cell1996","Cell1996","Batch1","Group2",63711.5310539086
"Cell1997","Cell1997","Batch1","Group1",46548.7001335421
"Cell1998","Cell1998","Batch1","Group2",52325.7630583999
"Cell1999","Cell1999","Batch1","Group2",60464.4540692427
"Cell2000","Cell2000","Batch1","Group1",71809.5220563185
"Cell2001","Cell2001","Batch1","Group2",62852.5202044343
"Cell2002","Cell2002","Batch1","Group1",58431.3155649186
"Cell2003","Cell2003","Batch1","Group2",55847.0356864276
"Cell2004","Cell2004","Batch1","Group2",58740.9488219323
"Cell2005","Cell2005","Batch1","Group2",73785.5953764856
"Cell2006","Cell2006","Batch1","Group2",68362.8280573087
"Cell2007","Cell2007","Batch1","Group1",62129.7238316599
"Cell2008","Cell2008","Batch1","Group1",45121.125369411
"Cell2009","Cell2009","Batch1","Group1",53789.9023960667
"Cell2010","Cell2010","Batch1","Group2",46352.9795947466
"Cell2011","Cell2011","Batch1","Group1",58656.4066852627
"Cell2012","Cell2012","Batch1","Group2",59431.3492478602
"Cell2013","Cell2013","Batch1","Group2",81131.4744029098
"Cell2014","Cell2014","Batch1","Group2",77970.2438393733
"Cell2015","Cell2015","Batch1","Group2",79738.6465784334
"Cell2016","Cell2016","Batch1","Group1",53875.8616578096
"Cell2017","Cell2017","Batch1","Group2",68290.0172387792
"Cell2018","Cell2018","Batch1","Group2",51116.7276754684
"Cell2019","Cell2019","Batch1","Group1",60906.6747910539
"Cell2020","Cell2020","Batch1","Group2",51060.8745933186
"Cell2021","Cell2021","Batch1","Group2",42578.6976608868
"Cell2022","Cell2022","Batch1","Group1",44295.7085081943
"Cell2023","Cell2023","Batch1","Group2",51883.2097172141
"Cell2024","Cell2024","Batch1","Group2",65481.7331440904
"Cell2025","Cell2025","Batch1","Group2",52229.7274566177
"Cell2026","Cell2026","Batch1","Group2",65321.1589296136
"Cell2027","Cell2027","Batch1","Group1",61102.1634164927
"Cell2028","Cell2028","Batch1","Group1",46565.5861111653
"Cell2029","Cell2029","Batch1","Group2",42971.4975808046
"Cell2030","Cell2030","Batch1","Group2",67072.1344119967
"Cell2031","Cell2031","Batch1","Group2",67630.4845874547
"Cell2032","Cell2032","Batch1","Group2",49120.5833321711
"Cell2033","Cell2033","Batch1","Group1",64330.8796333072
"Cell2034","Cell2034","Batch1","Group1",52503.0221255505
"Cell2035","Cell2035","Batch1","Group2",47562.3311248889
"Cell2036","Cell2036","Batch1","Group2",68456.6820695607
"Cell2037","Cell2037","Batch1","Group2",55253.2120812861
"Cell2038","Cell2038","Batch1","Group1",52354.8342183217
"Cell2039","Cell2039","Batch1","Group2",66572.3699556475
"Cell2040","Cell2040","Batch1","Group2",74161.3839628978
"Cell2041","Cell2041","Batch1","Group2",58363.5573931316
"Cell2042","Cell2042","Batch1","Group2",66897.6997339113
"Cell2043","Cell2043","Batch1","Group1",58677.128308126
"Cell2044","Cell2044","Batch1","Group1",94587.3988936435
"Cell2045","Cell2045","Batch1","Group2",46173.3190614921
"Cell2046","Cell2046","Batch1","Group1",71895.9447470173
"Cell2047","Cell2047","Batch1","Group2",61477.0008878117
"Cell2048","Cell2048","Batch1","Group2",60770.2174397899
"Cell2049","Cell2049","Batch1","Group2",95574.1521195096
"Cell2050","Cell2050","Batch1","Group1",44750.618628435
"Cell2051","Cell2051","Batch1","Group2",45979.6190699952
"Cell2052","Cell2052","Batch1","Group1",45108.1864040444
"Cell2053","Cell2053","Batch1","Group1",58515.8406204825
"Cell2054","Cell2054","Batch1","Group2",57599.1695129681
"Cell2055","Cell2055","Batch1","Group2",72262.4906131998
"Cell2056","Cell2056","Batch1","Group2",44897.0181311497
"Cell2057","Cell2057","Batch1","Group1",87286.5832288516
"Cell2058","Cell2058","Batch1","Group1",64396.4795113708
"Cell2059","Cell2059","Batch1","Group1",64401.3875929689
"Cell2060","Cell2060","Batch1","Group1",68562.9737122323
"Cell2061","Cell2061","Batch1","Group1",50924.3679961158
"Cell2062","Cell2062","Batch1","Group2",89396.4951483185
"Cell2063","Cell2063","Batch1","Group2",53560.5888807692
"Cell2064","Cell2064","Batch1","Group2",46014.8674584679
"Cell2065","Cell2065","Batch1","Group2",87579.6308021722
"Cell2066","Cell2066","Batch1","Group2",46688.767719619
"Cell2067","Cell2067","Batch1","Group2",46028.5984234938
"Cell2068","Cell2068","Batch1","Group2",59764.6681042225
"Cell2069","Cell2069","Batch1","Group1",58339.0865477728
"Cell2070","Cell2070","Batch1","Group1",96372.5308085428
"Cell2071","Cell2071","Batch1","Group2",62864.8340300937
"Cell2072","Cell2072","Batch1","Group1",43959.3700556063
"Cell2073","Cell2073","Batch1","Group1",90608.9367902701
"Cell2074","Cell2074","Batch1","Group2",74378.4010315556
"Cell2075","Cell2075","Batch1","Group2",54241.4138322178
"Cell2076","Cell2076","Batch1","Group1",45240.1558033094
"Cell2077","Cell2077","Batch1","Group1",72881.3208297777
"Cell2078","Cell2078","Batch1","Group1",62453.6453876763
"Cell2079","Cell2079","Batch1","Group1",51871.1177737025
"Cell2080","Cell2080","Batch1","Group1",54619.5141689747
"Cell2081","Cell2081","Batch1","Group1",56296.4602824366
"Cell2082","Cell2082","Batch1","Group1",50983.911988338
"Cell2083","Cell2083","Batch1","Group1",45008.9400004102
"Cell2084","Cell2084","Batch1","Group1",44267.7369334065
"Cell2085","Cell2085","Batch1","Group2",46247.8876177822
"Cell2086","Cell2086","Batch1","Group2",62628.8807510774
"Cell2087","Cell2087","Batch1","Group1",50953.4694458276
"Cell2088","Cell2088","Batch1","Group1",69052.0574135986
"Cell2089","Cell2089","Batch1","Group1",69547.1775208995
"Cell2090","Cell2090","Batch1","Group2",60819.485643792
"Cell2091","Cell2091","Batch1","Group1",67963.334725452
"Cell2092","Cell2092","Batch1","Group2",68418.173928482
"Cell2093","Cell2093","Batch1","Group2",49476.7263991593
"Cell2094","Cell2094","Batch1","Group2",48875.8567319182
"Cell2095","Cell2095","Batch1","Group1",54694.1628317001
"Cell2096","Cell2096","Batch1","Group1",51924.0886996292
"Cell2097","Cell2097","Batch1","Group1",55691.6636855786
"Cell2098","Cell2098","Batch1","Group1",46980.445661601
"Cell2099","Cell2099","Batch1","Group2",81446.4339352063
"Cell2100","Cell2100","Batch1","Group1",52914.466900532
"Cell2101","Cell2101","Batch1","Group1",61507.362546905
"Cell2102","Cell2102","Batch1","Group2",63940.9883456381
"Cell2103","Cell2103","Batch1","Group1",49823.9072863603
"Cell2104","Cell2104","Batch1","Group1",54676.7921179598
"Cell2105","Cell2105","Batch1","Group2",68771.571049485
"Cell2106","Cell2106","Batch1","Group1",68038.0701207349
"Cell2107","Cell2107","Batch1","Group1",60257.9783569931
"Cell2108","Cell2108","Batch1","Group1",60929.2463506559
"Cell2109","Cell2109","Batch1","Group2",68961.1301409743
"Cell2110","Cell2110","Batch1","Group1",62151.7779863437
"Cell2111","Cell2111","Batch1","Group1",51786.9889793636
"Cell2112","Cell2112","Batch1","Group1",76024.347881055
"Cell2113","Cell2113","Batch1","Group2",78994.7837011093
"Cell2114","Cell2114","Batch1","Group2",57659.149395043
"Cell2115","Cell2115","Batch1","Group1",46831.2821128639
"Cell2116","Cell2116","Batch1","Group1",65699.1657290149
"Cell2117","Cell2117","Batch1","Group2",70567.6445069088
"Cell2118","Cell2118","Batch1","Group1",41936.653266605
"Cell2119","Cell2119","Batch1","Group1",42111.3485809539
"Cell2120","Cell2120","Batch1","Group1",49372.1098428983
"Cell2121","Cell2121","Batch1","Group1",63815.072276208
"Cell2122","Cell2122","Batch1","Group2",46661.2161885057
"Cell2123","Cell2123","Batch1","Group1",39138.856834906
"Cell2124","Cell2124","Batch1","Group2",81437.5280235783
"Cell2125","Cell2125","Batch1","Group2",57425.3275752859
"Cell2126","Cell2126","Batch1","Group2",54856.5239831946
"Cell2127","Cell2127","Batch1","Group1",63284.8881887189
"Cell2128","Cell2128","Batch1","Group2",115132.12008032
"Cell2129","Cell2129","Batch1","Group1",57121.632232674
"Cell2130","Cell2130","Batch1","Group2",62753.4649481948
"Cell2131","Cell2131","Batch1","Group1",53699.6512609546
"Cell2132","Cell2132","Batch1","Group1",54432.7453262249
"Cell2133","Cell2133","Batch1","Group1",38982.2953743087
"Cell2134","Cell2134","Batch1","Group2",52573.750226654
"Cell2135","Cell2135","Batch1","Group1",63286.8401848304
"Cell2136","Cell2136","Batch1","Group1",44056.0871967138
"Cell2137","Cell2137","Batch1","Group1",41999.938535054
"Cell2138","Cell2138","Batch1","Group2",62335.7864476625
"Cell2139","Cell2139","Batch1","Group1",56117.2976424596
"Cell2140","Cell2140","Batch1","Group1",76342.2105733332
"Cell2141","Cell2141","Batch1","Group1",60741.3745079543
"Cell2142","Cell2142","Batch1","Group1",63646.0284334964
"Cell2143","Cell2143","Batch1","Group2",73311.4410210099
"Cell2144","Cell2144","Batch1","Group1",53559.9575812176
"Cell2145","Cell2145","Batch1","Group1",57918.1557952179
"Cell2146","Cell2146","Batch1","Group2",61106.6897561742
"Cell2147","Cell2147","Batch1","Group1",34809.2734076799
"Cell2148","Cell2148","Batch1","Group1",70611.584374626
"Cell2149","Cell2149","Batch1","Group1",61718.3907587625
"Cell2150","Cell2150","Batch1","Group1",68439.4249922002
"Cell2151","Cell2151","Batch1","Group1",78797.8369427735
"Cell2152","Cell2152","Batch1","Group2",57308.806028136
"Cell2153","Cell2153","Batch1","Group1",76538.5773170902
"Cell2154","Cell2154","Batch1","Group1",69711.0622420273
"Cell2155","Cell2155","Batch1","Group1",69714.8348106614
"Cell2156","Cell2156","Batch1","Group1",70765.6425807413
"Cell2157","Cell2157","Batch1","Group1",62250.4567093158
"Cell2158","Cell2158","Batch1","Group1",36417.5307072596
"Cell2159","Cell2159","Batch1","Group2",50888.118312659
"Cell2160","Cell2160","Batch1","Group2",62265.856748512
"Cell2161","Cell2161","Batch1","Group2",77001.1046543577
"Cell2162","Cell2162","Batch1","Group1",66597.9796726542
"Cell2163","Cell2163","Batch1","Group2",57037.3279522641
"Cell2164","Cell2164","Batch1","Group2",64705.1096905147
"Cell2165","Cell2165","Batch1","Group2",44106.6751713979
"Cell2166","Cell2166","Batch1","Group1",69812.6229420405
"Cell2167","Cell2167","Batch1","Group1",53254.3953298881
"Cell2168","Cell2168","Batch1","Group2",65179.7701599151
"Cell2169","Cell2169","Batch1","Group2",76004.1374237205
"Cell2170","Cell2170","Batch1","Group2",72231.965225318
"Cell2171","Cell2171","Batch1","Group1",73614.6987717714
"Cell2172","Cell2172","Batch1","Group1",53511.5476737758
"Cell2173","Cell2173","Batch1","Group2",55424.938672053
"Cell2174","Cell2174","Batch1","Group1",54529.0459278577
"Cell2175","Cell2175","Batch1","Group1",53181.3658578328
"Cell2176","Cell2176","Batch1","Group1",77167.9122532901
"Cell2177","Cell2177","Batch1","Group2",71375.2692066019
"Cell2178","Cell2178","Batch1","Group2",58635.1876430683
"Cell2179","Cell2179","Batch1","Group2",42124.8241686635
"Cell2180","Cell2180","Batch1","Group2",48894.4408266026
"Cell2181","Cell2181","Batch1","Group2",71688.4247028271
"Cell2182","Cell2182","Batch1","Group2",58883.1745145361
"Cell2183","Cell2183","Batch1","Group2",60539.3892240514
"Cell2184","Cell2184","Batch1","Group1",70551.5778637802
"Cell2185","Cell2185","Batch1","Group2",52565.7126735279
"Cell2186","Cell2186","Batch1","Group2",71064.9832488658
"Cell2187","Cell2187","Batch1","Group1",64911.7207407759
"Cell2188","Cell2188","Batch1","Group2",42407.1194599653
"Cell2189","Cell2189","Batch1","Group1",54776.9413734572
"Cell2190","Cell2190","Batch1","Group1",58596.9318704262
"Cell2191","Cell2191","Batch1","Group2",59144.213450858
"Cell2192","Cell2192","Batch1","Group2",59543.0911737522
