"","Cell","Batch","Group","ExpLibSize"
"Cell1635","Cell1635","Batch1","Group2",50016.9108713336
"Cell1636","Cell1636","Batch1","Group2",63080.8435801089
"Cell1637","Cell1637","Batch1","Group2",51663.0804934628
"Cell1638","Cell1638","Batch1","Group1",72364.8115789813
"Cell1639","Cell1639","Batch1","Group2",60623.6313017315
"Cell1640","Cell1640","Batch1","Group1",62028.513672895
"Cell1641","Cell1641","Batch1","Group2",59954.9147027976
"Cell1642","Cell1642","Batch1","Group2",50741.5070166889
"Cell1643","Cell1643","Batch1","Group1",35423.952870379
"Cell1644","Cell1644","Batch1","Group1",66774.1489358409
"Cell1645","Cell1645","Batch1","Group1",68657.4231057375
"Cell1646","Cell1646","Batch1","Group2",57049.3560891081
"Cell1647","Cell1647","Batch1","Group1",62880.8149085438
"Cell1648","Cell1648","Batch1","Group2",56695.5890778876
"Cell1649","Cell1649","Batch1","Group1",93014.1785088757
"Cell1650","Cell1650","Batch1","Group1",74824.2558559844
"Cell1651","Cell1651","Batch1","Group1",55384.1492877342
"Cell1652","Cell1652","Batch1","Group2",64042.478808319
"Cell1653","Cell1653","Batch1","Group2",82167.1568712842
"Cell1654","Cell1654","Batch1","Group1",49951.9976837434
"Cell1655","Cell1655","Batch1","Group1",41071.8820182673
"Cell1656","Cell1656","Batch1","Group2",69146.7410748329
"Cell1657","Cell1657","Batch1","Group2",74017.1890481313
"Cell1658","Cell1658","Batch1","Group1",72277.9095389491
"Cell1659","Cell1659","Batch1","Group2",64586.4837104737
"Cell1660","Cell1660","Batch1","Group1",57447.7143755248
"Cell1661","Cell1661","Batch1","Group2",41946.2340974251
"Cell1662","Cell1662","Batch1","Group2",64498.1420537043
"Cell1663","Cell1663","Batch1","Group1",59210.2904984646
"Cell1664","Cell1664","Batch1","Group1",66000.8614126199
"Cell1665","Cell1665","Batch1","Group2",70992.2048021498
"Cell1666","Cell1666","Batch1","Group2",65026.2865032603
"Cell1667","Cell1667","Batch1","Group1",36867.712868775
"Cell1668","Cell1668","Batch1","Group1",52581.3478088206
"Cell1669","Cell1669","Batch1","Group2",60107.3588430019
"Cell1670","Cell1670","Batch1","Group2",48701.6658564982
"Cell1671","Cell1671","Batch1","Group2",42909.4130959876
"Cell1672","Cell1672","Batch1","Group2",57351.0993815627
"Cell1673","Cell1673","Batch1","Group1",68744.5990369187
"Cell1674","Cell1674","Batch1","Group1",73494.699042305
"Cell1675","Cell1675","Batch1","Group1",48632.9616928136
"Cell1676","Cell1676","Batch1","Group1",34512.9842106483
"Cell1677","Cell1677","Batch1","Group2",57340.6979348209
"Cell1678","Cell1678","Batch1","Group2",65456.9839219823
"Cell1679","Cell1679","Batch1","Group1",63524.7123589455
"Cell1680","Cell1680","Batch1","Group1",86947.4777003597
"Cell1681","Cell1681","Batch1","Group2",55182.7424562006
"Cell1682","Cell1682","Batch1","Group2",66237.9404099882
"Cell1683","Cell1683","Batch1","Group2",50386.2855722693
"Cell1684","Cell1684","Batch1","Group2",53474.2134713067
"Cell1685","Cell1685","Batch1","Group1",57768.3987647537
"Cell1686","Cell1686","Batch1","Group1",48701.5984851876
"Cell1687","Cell1687","Batch1","Group2",59996.9477730274
"Cell1688","Cell1688","Batch1","Group1",50295.195641503
"Cell1689","Cell1689","Batch1","Group2",62384.3163749551
"Cell1690","Cell1690","Batch1","Group2",88019.1328339735
"Cell1691","Cell1691","Batch1","Group1",66874.6264462069
"Cell1692","Cell1692","Batch1","Group1",62290.4726289808
"Cell1693","Cell1693","Batch1","Group1",45484.6125959294
"Cell1694","Cell1694","Batch1","Group1",81361.9474422055
"Cell1695","Cell1695","Batch1","Group2",63864.4445228567
"Cell1696","Cell1696","Batch1","Group1",84703.6219421899
"Cell1697","Cell1697","Batch1","Group2",60463.8067440692
"Cell1698","Cell1698","Batch1","Group2",53286.3375713528
"Cell1699","Cell1699","Batch1","Group1",76622.0899103205
"Cell1700","Cell1700","Batch1","Group2",84317.3187515351
"Cell1701","Cell1701","Batch1","Group1",62931.5281730447
"Cell1702","Cell1702","Batch1","Group2",52240.4402119479
"Cell1703","Cell1703","Batch1","Group2",59852.9982509197
"Cell1704","Cell1704","Batch1","Group1",59146.2981502646
"Cell1705","Cell1705","Batch1","Group1",78005.7555143095
"Cell1706","Cell1706","Batch1","Group2",68019.1541743194
"Cell1707","Cell1707","Batch1","Group2",68066.7977184768
"Cell1708","Cell1708","Batch1","Group1",60766.1041038889
"Cell1709","Cell1709","Batch1","Group2",64088.7704603487
"Cell1710","Cell1710","Batch1","Group2",58636.320716221
"Cell1711","Cell1711","Batch1","Group1",46600.8929495381
"Cell1712","Cell1712","Batch1","Group1",55723.5610870234
"Cell1713","Cell1713","Batch1","Group1",68556.1552364658
"Cell1714","Cell1714","Batch1","Group2",61323.0009085346
"Cell1715","Cell1715","Batch1","Group2",72759.1697649486
"Cell1716","Cell1716","Batch1","Group2",76586.085684685
"Cell1717","Cell1717","Batch1","Group1",58758.6256758672
"Cell1718","Cell1718","Batch1","Group1",47409.3040787361
"Cell1719","Cell1719","Batch1","Group1",78260.5285138748
"Cell1720","Cell1720","Batch1","Group1",73850.8356054247
"Cell1721","Cell1721","Batch1","Group1",54801.6087050804
"Cell1722","Cell1722","Batch1","Group1",47822.0539699653
"Cell1723","Cell1723","Batch1","Group1",65788.2066338211
"Cell1724","Cell1724","Batch1","Group2",50306.7316273614
"Cell1725","Cell1725","Batch1","Group1",47527.1491547048
"Cell1726","Cell1726","Batch1","Group2",62254.5395435828
"Cell1727","Cell1727","Batch1","Group2",58315.4301302947
"Cell1728","Cell1728","Batch1","Group1",66816.7475852493
"Cell1729","Cell1729","Batch1","Group2",56884.6126672223
"Cell1730","Cell1730","Batch1","Group1",58731.0951188511
"Cell1731","Cell1731","Batch1","Group1",77230.8319122013
"Cell1732","Cell1732","Batch1","Group1",66812.8157545825
"Cell1733","Cell1733","Batch1","Group2",79526.1277835378
"Cell1734","Cell1734","Batch1","Group2",61097.2452261485
"Cell1735","Cell1735","Batch1","Group2",66827.5427138698
"Cell1736","Cell1736","Batch1","Group1",52424.4456583337
"Cell1737","Cell1737","Batch1","Group2",49200.4346319643
"Cell1738","Cell1738","Batch1","Group2",47089.7999762173
"Cell1739","Cell1739","Batch1","Group2",67409.1311741957
"Cell1740","Cell1740","Batch1","Group1",44297.861780194
"Cell1741","Cell1741","Batch1","Group2",56770.1575587799
"Cell1742","Cell1742","Batch1","Group1",50480.0133895987
"Cell1743","Cell1743","Batch1","Group2",53281.0557993278
"Cell1744","Cell1744","Batch1","Group2",52571.5381450261
"Cell1745","Cell1745","Batch1","Group2",47373.6773356767
"Cell1746","Cell1746","Batch1","Group2",58502.7951239024
"Cell1747","Cell1747","Batch1","Group2",64848.5017313082
"Cell1748","Cell1748","Batch1","Group1",54157.3078437698
"Cell1749","Cell1749","Batch1","Group1",66672.3355785385
"Cell1750","Cell1750","Batch1","Group2",50700.6036207016
"Cell1751","Cell1751","Batch1","Group2",67486.9547526587
"Cell1752","Cell1752","Batch1","Group1",90969.1744104422
"Cell1753","Cell1753","Batch1","Group2",60943.7795281747
"Cell1754","Cell1754","Batch1","Group1",53956.5102602858
"Cell1755","Cell1755","Batch1","Group1",63551.6264028572
"Cell1756","Cell1756","Batch1","Group2",48602.0320957358
"Cell1757","Cell1757","Batch1","Group1",52315.9150010668
"Cell1758","Cell1758","Batch1","Group1",42802.2540589937
"Cell1759","Cell1759","Batch1","Group1",102828.552439293
"Cell1760","Cell1760","Batch1","Group1",71644.0658391913
"Cell1761","Cell1761","Batch1","Group1",50936.7430020133
"Cell1762","Cell1762","Batch1","Group1",71683.6303087171
"Cell1763","Cell1763","Batch1","Group2",61596.8987848857
"Cell1764","Cell1764","Batch1","Group1",68346.871734618
"Cell1765","Cell1765","Batch1","Group1",65677.3389619096
"Cell1766","Cell1766","Batch1","Group1",66084.7539351806
"Cell1767","Cell1767","Batch1","Group1",66421.061492066
"Cell1768","Cell1768","Batch1","Group1",71818.5861319994
"Cell1769","Cell1769","Batch1","Group1",46762.4932731863
"Cell1770","Cell1770","Batch1","Group2",69341.4215945434
"Cell1771","Cell1771","Batch1","Group1",70472.8781933736
"Cell1772","Cell1772","Batch1","Group2",76971.0173325146
"Cell1773","Cell1773","Batch1","Group2",55600.5985992887
"Cell1774","Cell1774","Batch1","Group1",61365.6233214758
"Cell1775","Cell1775","Batch1","Group2",51142.9819801924
"Cell1776","Cell1776","Batch1","Group1",55327.8169212169
"Cell1777","Cell1777","Batch1","Group2",86643.0081331476
"Cell1778","Cell1778","Batch1","Group2",60499.512939238
"Cell1779","Cell1779","Batch1","Group1",53276.9613971042
"Cell1780","Cell1780","Batch1","Group2",52139.953988638
"Cell1781","Cell1781","Batch1","Group1",56351.5115255829
"Cell1782","Cell1782","Batch1","Group1",76653.0745366951
"Cell1783","Cell1783","Batch1","Group2",55857.357532103
"Cell1784","Cell1784","Batch1","Group2",72142.7648276672
"Cell1785","Cell1785","Batch1","Group1",73881.5126627023
"Cell1786","Cell1786","Batch1","Group1",62634.2408050509
"Cell1787","Cell1787","Batch1","Group1",37746.4254075322
"Cell1788","Cell1788","Batch1","Group2",58769.50506344
"Cell1789","Cell1789","Batch1","Group1",65006.7279400526
"Cell1790","Cell1790","Batch1","Group1",44031.1894667005
"Cell1791","Cell1791","Batch1","Group2",71682.1979157661
"Cell1792","Cell1792","Batch1","Group2",67850.837144288
"Cell1793","Cell1793","Batch1","Group1",48758.1545398117
"Cell1794","Cell1794","Batch1","Group2",56843.7519797784
"Cell1795","Cell1795","Batch1","Group2",67799.0868696893
"Cell1796","Cell1796","Batch1","Group1",44996.0991626137
"Cell1797","Cell1797","Batch1","Group2",65755.0143376105
"Cell1798","Cell1798","Batch1","Group1",73240.6847299629
"Cell1799","Cell1799","Batch1","Group1",60558.207102557
"Cell1800","Cell1800","Batch1","Group1",87242.5830443404
"Cell1801","Cell1801","Batch1","Group2",56894.1909627992
"Cell1802","Cell1802","Batch1","Group2",68490.9438490589
"Cell1803","Cell1803","Batch1","Group1",63119.9323706862
"Cell1804","Cell1804","Batch1","Group2",48815.8817715844
"Cell1805","Cell1805","Batch1","Group1",48591.0641106612
"Cell1806","Cell1806","Batch1","Group2",49501.2247224925
"Cell1807","Cell1807","Batch1","Group2",51154.8691164026
"Cell1808","Cell1808","Batch1","Group2",54754.005455039
"Cell1809","Cell1809","Batch1","Group1",60862.9874061643
"Cell1810","Cell1810","Batch1","Group1",68267.4377584318
"Cell1811","Cell1811","Batch1","Group1",42609.7384028272
"Cell1812","Cell1812","Batch1","Group2",56800.2341763049
"Cell1813","Cell1813","Batch1","Group2",70904.2192041227
"Cell1814","Cell1814","Batch1","Group1",47589.4991509163
"Cell1815","Cell1815","Batch1","Group1",57045.1568293563
"Cell1816","Cell1816","Batch1","Group2",75658.0130272014
"Cell1817","Cell1817","Batch1","Group1",55935.8709419025
"Cell1818","Cell1818","Batch1","Group2",51867.4753672876
"Cell1819","Cell1819","Batch1","Group2",58483.3346663483
"Cell1820","Cell1820","Batch1","Group2",98341.1530358267
"Cell1821","Cell1821","Batch1","Group1",46134.5418511563
"Cell1822","Cell1822","Batch1","Group2",69713.4308253134
"Cell1823","Cell1823","Batch1","Group1",82589.7494081963
"Cell1824","Cell1824","Batch1","Group2",59482.0795242159
"Cell1825","Cell1825","Batch1","Group1",66115.7579870224
"Cell1826","Cell1826","Batch1","Group2",82752.836220995
"Cell1827","Cell1827","Batch1","Group1",51886.7137028898
"Cell1828","Cell1828","Batch1","Group2",51731.5034757161
"Cell1829","Cell1829","Batch1","Group1",68003.6661217718
"Cell1830","Cell1830","Batch1","Group1",52587.7406217557
"Cell1831","Cell1831","Batch1","Group2",41821.3712819606
"Cell1832","Cell1832","Batch1","Group1",71188.4059202815
"Cell1833","Cell1833","Batch1","Group2",59456.3865243441
"Cell1834","Cell1834","Batch1","Group2",65439.7176355772
"Cell1835","Cell1835","Batch1","Group2",72276.6750052349
"Cell1836","Cell1836","Batch1","Group2",53202.9198485829
"Cell1837","Cell1837","Batch1","Group2",62172.9472203222
"Cell1838","Cell1838","Batch1","Group1",45197.9074168537
"Cell1839","Cell1839","Batch1","Group2",62978.0286176372
"Cell1840","Cell1840","Batch1","Group2",70405.7458651243
"Cell1841","Cell1841","Batch1","Group2",46974.0306974841
"Cell1842","Cell1842","Batch1","Group2",70438.0410268714
"Cell1843","Cell1843","Batch1","Group2",51025.49426879
"Cell1844","Cell1844","Batch1","Group2",61198.7231928331
"Cell1845","Cell1845","Batch1","Group2",63385.8342007476
"Cell1846","Cell1846","Batch1","Group1",37933.1009902295
"Cell1847","Cell1847","Batch1","Group2",66626.6929751265
"Cell1848","Cell1848","Batch1","Group1",53756.0389057724
"Cell1849","Cell1849","Batch1","Group2",42207.6650860152
"Cell1850","Cell1850","Batch1","Group2",52057.4350237745
"Cell1851","Cell1851","Batch1","Group1",47841.2061928858
"Cell1852","Cell1852","Batch1","Group1",57499.667949283
"Cell1853","Cell1853","Batch1","Group1",38718.4088065352
"Cell1854","Cell1854","Batch1","Group2",44038.4045378688
"Cell1855","Cell1855","Batch1","Group1",57815.1440162485
"Cell1856","Cell1856","Batch1","Group2",59232.396861197
"Cell1857","Cell1857","Batch1","Group1",48090.5184994626
"Cell1858","Cell1858","Batch1","Group2",73246.9404328909
"Cell1859","Cell1859","Batch1","Group2",61168.9007598777
"Cell1860","Cell1860","Batch1","Group2",50971.2902346169
"Cell1861","Cell1861","Batch1","Group2",56238.0775030639
"Cell1862","Cell1862","Batch1","Group2",53624.7222059239
"Cell1863","Cell1863","Batch1","Group2",55501.7704643609
"Cell1864","Cell1864","Batch1","Group2",48868.8396684392
"Cell1865","Cell1865","Batch1","Group2",79265.8165730788
"Cell1866","Cell1866","Batch1","Group2",55618.6256122437
"Cell1867","Cell1867","Batch1","Group2",69640.3837150058
"Cell1868","Cell1868","Batch1","Group2",55891.3464648699
"Cell1869","Cell1869","Batch1","Group2",65148.9948428253
"Cell1870","Cell1870","Batch1","Group2",79671.2018283004
"Cell1871","Cell1871","Batch1","Group1",61549.6516109444
"Cell1872","Cell1872","Batch1","Group1",54417.4934204495
"Cell1873","Cell1873","Batch1","Group2",71195.8432479211
"Cell1874","Cell1874","Batch1","Group1",82488.6497400503
"Cell1875","Cell1875","Batch1","Group2",48233.2084697019
"Cell1876","Cell1876","Batch1","Group1",102190.786638377
"Cell1877","Cell1877","Batch1","Group2",58119.4236427025
"Cell1878","Cell1878","Batch1","Group2",69274.6703613887
"Cell1879","Cell1879","Batch1","Group1",73425.2075489532
"Cell1880","Cell1880","Batch1","Group1",70986.8382951001
"Cell1881","Cell1881","Batch1","Group1",39132.2201100035
"Cell1882","Cell1882","Batch1","Group2",58596.7855558129
"Cell1883","Cell1883","Batch1","Group2",89011.5578186407
"Cell1884","Cell1884","Batch1","Group2",56883.4991122886
"Cell1885","Cell1885","Batch1","Group1",73396.3355969614
"Cell1886","Cell1886","Batch1","Group1",53538.6619593372
"Cell1887","Cell1887","Batch1","Group1",56225.3695969558
"Cell1888","Cell1888","Batch1","Group2",51782.4181628466
"Cell1889","Cell1889","Batch1","Group1",54646.0333857456
"Cell1890","Cell1890","Batch1","Group2",56356.6155094849
"Cell1891","Cell1891","Batch1","Group1",63204.5365466129
"Cell1892","Cell1892","Batch1","Group2",57441.5340599962
"Cell1893","Cell1893","Batch1","Group1",40059.2875340152
"Cell1894","Cell1894","Batch1","Group2",54026.0268927002
"Cell1895","Cell1895","Batch1","Group1",45001.8366522447
"Cell1896","Cell1896","Batch1","Group2",52334.1604358983
"Cell1897","Cell1897","Batch1","Group2",58172.7496587641
"Cell1898","Cell1898","Batch1","Group2",62845.5849071215
"Cell1899","Cell1899","Batch1","Group1",39119.2401494127
"Cell1900","Cell1900","Batch1","Group1",56378.3191533027
"Cell1901","Cell1901","Batch1","Group1",60029.3146254168
"Cell1902","Cell1902","Batch1","Group1",55249.9656829197
"Cell1903","Cell1903","Batch1","Group2",48579.1930622672
"Cell1904","Cell1904","Batch1","Group1",51509.0356731672
"Cell1905","Cell1905","Batch1","Group1",79851.4057180592
"Cell1906","Cell1906","Batch1","Group2",66814.1635915046
"Cell1907","Cell1907","Batch1","Group2",71561.9262090471
"Cell1908","Cell1908","Batch1","Group1",69977.3994302724
"Cell1909","Cell1909","Batch1","Group1",61810.7279509766
"Cell1910","Cell1910","Batch1","Group2",65668.7884302664
"Cell1911","Cell1911","Batch1","Group1",44933.7633036187
"Cell1912","Cell1912","Batch1","Group1",41353.7022295806
"Cell1913","Cell1913","Batch1","Group1",86731.5081889811
"Cell1914","Cell1914","Batch1","Group1",45950.2847918427
"Cell1915","Cell1915","Batch1","Group1",56790.1816990349
"Cell1916","Cell1916","Batch1","Group2",64948.5888734098
"Cell1917","Cell1917","Batch1","Group2",73550.9054517877
"Cell1918","Cell1918","Batch1","Group1",68616.6695574163
"Cell1919","Cell1919","Batch1","Group2",43373.14492226
"Cell1920","Cell1920","Batch1","Group2",65098.7050016751
"Cell1921","Cell1921","Batch1","Group1",46483.312212241
"Cell1922","Cell1922","Batch1","Group2",61524.633542086
"Cell1923","Cell1923","Batch1","Group2",54373.4073637357
"Cell1924","Cell1924","Batch1","Group2",45946.7684673736
"Cell1925","Cell1925","Batch1","Group2",83532.4598659669
"Cell1926","Cell1926","Batch1","Group2",60104.9278227192
"Cell1927","Cell1927","Batch1","Group1",49773.3439698108
"Cell1928","Cell1928","Batch1","Group1",51992.6865844522
"Cell1929","Cell1929","Batch1","Group1",47229.3468818649
"Cell1930","Cell1930","Batch1","Group2",49154.4062468577
"Cell1931","Cell1931","Batch1","Group1",48972.979847339
"Cell1932","Cell1932","Batch1","Group2",58442.7490564634
"Cell1933","Cell1933","Batch1","Group2",76107.6919686341
"Cell1934","Cell1934","Batch1","Group1",59549.7270206739
"Cell1935","Cell1935","Batch1","Group1",44435.5594675797
"Cell1936","Cell1936","Batch1","Group2",74282.5958432203
"Cell1937","Cell1937","Batch1","Group1",75168.2039924753
"Cell1938","Cell1938","Batch1","Group1",95290.1270508784
"Cell1939","Cell1939","Batch1","Group2",63558.2703343126
"Cell1940","Cell1940","Batch1","Group1",62606.9839273024
"Cell1941","Cell1941","Batch1","Group2",70362.3515542981
"Cell1942","Cell1942","Batch1","Group1",57555.9777218782
"Cell1943","Cell1943","Batch1","Group2",55339.1709289743
"Cell1944","Cell1944","Batch1","Group1",37546.8530780586
"Cell1945","Cell1945","Batch1","Group2",64874.205414972
"Cell1946","Cell1946","Batch1","Group1",55463.7437633298
"Cell1947","Cell1947","Batch1","Group2",54652.9641918226
"Cell1948","Cell1948","Batch1","Group2",78732.5414205582
"Cell1949","Cell1949","Batch1","Group1",46173.8178872839
"Cell1950","Cell1950","Batch1","Group2",63725.2730542249
"Cell1951","Cell1951","Batch1","Group1",61105.9284242058
"Cell1952","Cell1952","Batch1","Group2",67586.8094812678
"Cell1953","Cell1953","Batch1","Group2",56039.9520690538
"Cell1954","Cell1954","Batch1","Group2",43970.6938748747
"Cell1955","Cell1955","Batch1","Group2",69266.9905273972
"Cell1956","Cell1956","Batch1","Group1",79342.1593682109
"Cell1957","Cell1957","Batch1","Group1",46614.0802796261
"Cell1958","Cell1958","Batch1","Group2",44253.5896464364
"Cell1959","Cell1959","Batch1","Group1",57998.3088927813
"Cell1960","Cell1960","Batch1","Group1",37456.2990617244
"Cell1961","Cell1961","Batch1","Group2",55026.647255418
"Cell1962","Cell1962","Batch1","Group1",71786.8227641768
"Cell1963","Cell1963","Batch1","Group1",61035.8858944703
"Cell1964","Cell1964","Batch1","Group2",72014.228822664
"Cell1965","Cell1965","Batch1","Group2",46979.6745063623
"Cell1966","Cell1966","Batch1","Group1",52163.3409719236
"Cell1967","Cell1967","Batch1","Group2",61289.3241003908
"Cell1968","Cell1968","Batch1","Group1",63400.5271573612
"Cell1969","Cell1969","Batch1","Group2",70468.3254445255
"Cell1970","Cell1970","Batch1","Group2",55190.3919565505
"Cell1971","Cell1971","Batch1","Group1",71911.5461596696
"Cell1972","Cell1972","Batch1","Group1",66993.9417621528
"Cell1973","Cell1973","Batch1","Group2",49465.0941898033
"Cell1974","Cell1974","Batch1","Group1",66570.7604524333
"Cell1975","Cell1975","Batch1","Group1",49376.0466399325
"Cell1976","Cell1976","Batch1","Group1",61779.1961868902
"Cell1977","Cell1977","Batch1","Group2",48980.1579093007
"Cell1978","Cell1978","Batch1","Group1",65025.4543783415
"Cell1979","Cell1979","Batch1","Group1",52963.7511462598
"Cell1980","Cell1980","Batch1","Group2",51439.2167722378
"Cell1981","Cell1981","Batch1","Group2",50837.3286928289
"Cell1982","Cell1982","Batch1","Group2",64927.6112702288
"Cell1983","Cell1983","Batch1","Group1",55177.7060605566
"Cell1984","Cell1984","Batch1","Group1",55461.2569465688
"Cell1985","Cell1985","Batch1","Group2",57546.201497792
"Cell1986","Cell1986","Batch1","Group1",75694.28005641
"Cell1987","Cell1987","Batch1","Group1",71164.9897092995
"Cell1988","Cell1988","Batch1","Group2",65036.1322798473
"Cell1989","Cell1989","Batch1","Group2",51878.6703151335
"Cell1990","Cell1990","Batch1","Group2",41954.5485025733
"Cell1991","Cell1991","Batch1","Group2",51297.6150246739
"Cell1992","Cell1992","Batch1","Group2",53978.1370264212
"Cell1993","Cell1993","Batch1","Group2",41218.1512923658
"Cell1994","Cell1994","Batch1","Group2",60161.8572383705
"Cell1995","Cell1995","Batch1","Group1",60034.690025333
"Cell1996","Cell1996","Batch1","Group1",58968.5536074249
"Cell1997","Cell1997","Batch1","Group1",58233.9408751422
"Cell1998","Cell1998","Batch1","Group1",46775.6676654033
"Cell1999","Cell1999","Batch1","Group2",60943.2915138517
"Cell2000","Cell2000","Batch1","Group2",78762.0492125993
"Cell2001","Cell2001","Batch1","Group1",60937.3663863037
"Cell2002","Cell2002","Batch1","Group1",64860.7242800654
"Cell2003","Cell2003","Batch1","Group2",60833.5526685623
"Cell2004","Cell2004","Batch1","Group1",53752.6878411687
"Cell2005","Cell2005","Batch1","Group2",68693.4589056939
"Cell2006","Cell2006","Batch1","Group2",57624.5673755563
"Cell2007","Cell2007","Batch1","Group1",71105.9332154546
"Cell2008","Cell2008","Batch1","Group1",60591.1758006789
"Cell2009","Cell2009","Batch1","Group2",54831.2169593766
"Cell2010","Cell2010","Batch1","Group2",55847.5249872005
"Cell2011","Cell2011","Batch1","Group2",64754.7496973457
"Cell2012","Cell2012","Batch1","Group2",54001.6761789171
"Cell2013","Cell2013","Batch1","Group1",62666.8724544915
"Cell2014","Cell2014","Batch1","Group1",65229.848705556
"Cell2015","Cell2015","Batch1","Group2",74001.2176464185
"Cell2016","Cell2016","Batch1","Group2",70991.0982044713
"Cell2017","Cell2017","Batch1","Group1",59482.1403274701
"Cell2018","Cell2018","Batch1","Group2",45836.5320449217
"Cell2019","Cell2019","Batch1","Group2",70584.0475281264
"Cell2020","Cell2020","Batch1","Group1",49571.1678000619
"Cell2021","Cell2021","Batch1","Group2",61322.5533374698
"Cell2022","Cell2022","Batch1","Group2",55035.5963040361
"Cell2023","Cell2023","Batch1","Group1",63216.8942604154
"Cell2024","Cell2024","Batch1","Group2",51073.7074097775
"Cell2025","Cell2025","Batch1","Group1",61743.5177726046
"Cell2026","Cell2026","Batch1","Group2",74286.2400861265
"Cell2027","Cell2027","Batch1","Group1",46975.6250140585
"Cell2028","Cell2028","Batch1","Group1",53052.7614893726
"Cell2029","Cell2029","Batch1","Group1",63023.6109618777
"Cell2030","Cell2030","Batch1","Group1",51039.3595422153
"Cell2031","Cell2031","Batch1","Group2",56722.630512682
"Cell2032","Cell2032","Batch1","Group1",77803.3321889879
"Cell2033","Cell2033","Batch1","Group1",72315.1601419747
"Cell2034","Cell2034","Batch1","Group1",53211.6465995879
"Cell2035","Cell2035","Batch1","Group2",63841.4139241181
"Cell2036","Cell2036","Batch1","Group2",63111.8363166444
"Cell2037","Cell2037","Batch1","Group2",58224.8188555458
"Cell2038","Cell2038","Batch1","Group2",55866.4858481911
"Cell2039","Cell2039","Batch1","Group1",84058.9677101442
"Cell2040","Cell2040","Batch1","Group1",42353.3114132006
"Cell2041","Cell2041","Batch1","Group2",88362.3772557296
"Cell2042","Cell2042","Batch1","Group1",52589.0424377446
"Cell2043","Cell2043","Batch1","Group1",82717.8309011668
"Cell2044","Cell2044","Batch1","Group1",39577.080574704
"Cell2045","Cell2045","Batch1","Group2",59104.1929534032
"Cell2046","Cell2046","Batch1","Group2",68499.5093625813
"Cell2047","Cell2047","Batch1","Group2",58869.9039186577
"Cell2048","Cell2048","Batch1","Group1",67716.8100027835
"Cell2049","Cell2049","Batch1","Group1",44434.5947294092
"Cell2050","Cell2050","Batch1","Group2",47856.5087296862
"Cell2051","Cell2051","Batch1","Group2",136794.897361314
"Cell2052","Cell2052","Batch1","Group1",91478.2164469857
"Cell2053","Cell2053","Batch1","Group1",70354.5665299056
"Cell2054","Cell2054","Batch1","Group1",70720.0734104842
"Cell2055","Cell2055","Batch1","Group1",62112.0728082257
"Cell2056","Cell2056","Batch1","Group1",68262.77185041
"Cell2057","Cell2057","Batch1","Group2",52388.1298069092
"Cell2058","Cell2058","Batch1","Group2",51797.6537387007
"Cell2059","Cell2059","Batch1","Group2",73721.1464095125
"Cell2060","Cell2060","Batch1","Group1",55325.1106747306
"Cell2061","Cell2061","Batch1","Group2",67854.430626865
"Cell2062","Cell2062","Batch1","Group1",45407.3619275827
"Cell2063","Cell2063","Batch1","Group2",54052.8947895611
"Cell2064","Cell2064","Batch1","Group1",69869.0456669649
"Cell2065","Cell2065","Batch1","Group2",57428.9113927163
"Cell2066","Cell2066","Batch1","Group2",51038.6916554329
"Cell2067","Cell2067","Batch1","Group1",54798.5015401303
"Cell2068","Cell2068","Batch1","Group1",40669.6459494893
"Cell2069","Cell2069","Batch1","Group2",52357.8280457201
"Cell2070","Cell2070","Batch1","Group2",86034.3524078268
"Cell2071","Cell2071","Batch1","Group2",53776.6392351603
"Cell2072","Cell2072","Batch1","Group2",64638.5490087211
"Cell2073","Cell2073","Batch1","Group2",101710.534634736
"Cell2074","Cell2074","Batch1","Group2",61853.6324411139
"Cell2075","Cell2075","Batch1","Group1",64623.1117432766
"Cell2076","Cell2076","Batch1","Group1",77050.3253550817
"Cell2077","Cell2077","Batch1","Group2",60311.4391865556
"Cell2078","Cell2078","Batch1","Group2",54344.5257011352
"Cell2079","Cell2079","Batch1","Group1",46529.8980916155
"Cell2080","Cell2080","Batch1","Group1",54122.2706206588
"Cell2081","Cell2081","Batch1","Group1",85949.3345209055
"Cell2082","Cell2082","Batch1","Group1",103938.237966916
"Cell2083","Cell2083","Batch1","Group1",73826.4481516504
"Cell2084","Cell2084","Batch1","Group2",67255.9519544747
"Cell2085","Cell2085","Batch1","Group1",51052.347331325
"Cell2086","Cell2086","Batch1","Group2",74972.5385589719
"Cell2087","Cell2087","Batch1","Group1",48760.4293892752
"Cell2088","Cell2088","Batch1","Group2",53928.8715318498
"Cell2089","Cell2089","Batch1","Group1",67804.7264732176
"Cell2090","Cell2090","Batch1","Group2",58617.9855376611
"Cell2091","Cell2091","Batch1","Group2",71964.1589784313
"Cell2092","Cell2092","Batch1","Group2",70140.6374594698
"Cell2093","Cell2093","Batch1","Group2",67643.9454826626
"Cell2094","Cell2094","Batch1","Group1",63384.4282653051
"Cell2095","Cell2095","Batch1","Group2",55963.8393825975
"Cell2096","Cell2096","Batch1","Group1",51201.0403673914
"Cell2097","Cell2097","Batch1","Group1",78190.5395945177
"Cell2098","Cell2098","Batch1","Group1",61559.022185437
"Cell2099","Cell2099","Batch1","Group1",60827.4008610584
"Cell2100","Cell2100","Batch1","Group1",92356.8687403419
"Cell2101","Cell2101","Batch1","Group1",86819.1661669378
